medicine_name,composition,medicine_type,price,quantity_available,pharmacy,prescription_required
Amoxicillin 10mg Tablet,Amoxicillin 10mg,Tablet,168.24,40,Sharma Medical,True
Amoxicillin 40mg Capsule,Amoxicillin 40mg,Capsule,32.28,28,MedPlus,True
Atorvastatin 200mg Tablet,Atorvastatin 200mg,Tablet,138.86,171,Sharma Medical,True
Losartan 5mg Drops,Losartan 5mg,Drops,298.6,76,Apollo Pharmacy,True
Telmisartan 20mg Drops,Telmisartan 20mg,Drops,189.28,60,Wellness Forever,True
Amoxicillin 40mg Capsule,Amoxicillin 40mg,Capsule,73.71,221,Wellness Forever,True
Ofloxacin 250mg Cream,Ofloxacin 250mg,Cream,477.57,142,Apollo Pharmacy,True
Methylcobalamin 200mg Capsule,Methylcobalamin 200mg,Capsule,199.05,165,Guardian Pharmacy,False
Vitamin D3 500mg Injection,Vitamin D3 500mg,Injection,41.24,63,Wellness Forever,False
Azithromycin 500mg Injection,Azithromycin 500mg,Injection,254.52,121,Sharma Medical,True
Vitamin D3 20mg Syrup,Vitamin D3 20mg,Syrup,238.66,176,Wellness Forever,False
Azithromycin 200mg Syrup,Azithromycin 200mg,Syrup,477.18,46,Netmeds,True
Methylcobalamin 200mg Cream,Methylcobalamin 200mg,Cream,152.11,88,Apollo Pharmacy,False
Atorvastatin 20mg Tablet,Atorvastatin 20mg,Tablet,267.94,21,MedPlus,True
Cefixime 5mg Gel,Cefixime 5mg,Gel,430.17,106,Sharma Medical,True
Aceclofenac 10mg Syrup,Aceclofenac 10mg,Syrup,101.08,195,Guardian Pharmacy,True
Losartan 40mg Cream,Losartan 40mg,Cream,584.81,107,Wellness Forever,True
Atorvastatin 200mg Syrup,Atorvastatin 200mg,Syrup,326.86,198,Apollo Pharmacy,True
Amoxicillin 650mg Syrup,Amoxicillin 650mg,Syrup,517.35,113,Guardian Pharmacy,True
Azithromycin 40mg Drops,Azithromycin 40mg,Drops,392.18,124,Guardian Pharmacy,True
Pantoprazole 500mg Tablet,Pantoprazole 500mg,Tablet,446.93,142,Wellness Forever,False
Levocetirizine 10mg Capsule,Levocetirizine 10mg,Capsule,289.38,121,Apollo Pharmacy,False
Pantoprazole 200mg Syrup,Pantoprazole 200mg,Syrup,594.26,227,Sharma Medical,False
Cetirizine 650mg Injection,Cetirizine 650mg,Injection,250.56,46,Guardian Pharmacy,False
Rabeprazole 20mg Tablet,Rabeprazole 20mg,Tablet,323.73,33,Wellness Forever,False
Cetirizine 250mg Injection,Cetirizine 250mg,Injection,165.68,150,Apollo Pharmacy,False
Azithromycin 500mg Ointment,Azithromycin 500mg,Ointment,635.95,141,MedPlus,True
Metformin 200mg Ointment,Metformin 200mg,Ointment,117.35,140,Guardian Pharmacy,True
Diclofenac 200mg Injection,Diclofenac 200mg,Injection,493.86,181,MedPlus,True
Cetirizine 20mg Drops,Cetirizine 20mg,Drops,291.51,137,Netmeds,False
Amoxicillin 5mg Injection,Amoxicillin 5mg,Injection,52.85,10,Guardian Pharmacy,True
Losartan 5mg Injection,Losartan 5mg,Injection,16.59,186,Sharma Medical,True
Ibuprofen 500mg Injection,Ibuprofen 500mg,Injection,589.66,225,Wellness Forever,False
Azithromycin 10mg Injection,Azithromycin 10mg,Injection,438.81,59,Guardian Pharmacy,True
Metformin 5mg Ointment,Metformin 5mg,Ointment,512.59,211,Netmeds,True
Amlodipine 500mg Capsule,Amlodipine 500mg,Capsule,432.43,95,Netmeds,True
Diclofenac 250mg Ointment,Diclofenac 250mg,Ointment,441.61,170,Apollo Pharmacy,True
Ibuprofen 20mg Drops,Ibuprofen 20mg,Drops,522.78,32,MedPlus,False
Amlodipine 200mg Injection,Amlodipine 200mg,Injection,298.22,113,MedPlus,True
Pantoprazole 5mg Ointment,Pantoprazole 5mg,Ointment,569.92,24,Netmeds,False
Losartan 250mg Capsule,Losartan 250mg,Capsule,428.07,143,Apollo Pharmacy,True
Azithromycin 650mg Injection,Azithromycin 650mg,Injection,271.29,128,MedPlus,True
Methylcobalamin 650mg Tablet,Methylcobalamin 650mg,Tablet,253.78,104,Wellness Forever,False
Aceclofenac 40mg Cream,Aceclofenac 40mg,Cream,456.43,192,Guardian Pharmacy,True
Tramadol 5mg Syrup,Tramadol 5mg,Syrup,201.3,19,Guardian Pharmacy,True
Losartan 20mg Tablet,Losartan 20mg,Tablet,48.47,154,Netmeds,True
Rabeprazole 250mg Syrup,Rabeprazole 250mg,Syrup,624.98,25,MedPlus,False
Azithromycin 5mg Capsule,Azithromycin 5mg,Capsule,269.61,246,Guardian Pharmacy,True
Atorvastatin 500mg Tablet,Atorvastatin 500mg,Tablet,279.47,154,Guardian Pharmacy,True
Rabeprazole 10mg Gel,Rabeprazole 10mg,Gel,142.32,188,Wellness Forever,False
Atorvastatin 40mg Cream,Atorvastatin 40mg,Cream,95.5,170,Wellness Forever,True
Aceclofenac 500mg Gel,Aceclofenac 500mg,Gel,17.94,164,Guardian Pharmacy,True
Amoxicillin 200mg Capsule,Amoxicillin 200mg,Capsule,147.99,72,MedPlus,True
Vitamin D3 5mg Capsule,Vitamin D3 5mg,Capsule,247.76,45,Netmeds,False
Losartan 200mg Cream,Losartan 200mg,Cream,16.99,214,Guardian Pharmacy,True
Cetirizine 650mg Capsule,Cetirizine 650mg,Capsule,180.73,232,Apollo Pharmacy,False
Losartan 10mg Syrup,Losartan 10mg,Syrup,191.76,58,Sharma Medical,True
Levocetirizine 10mg Injection,Levocetirizine 10mg,Injection,334.45,69,Apollo Pharmacy,False
Azithromycin 10mg Drops,Azithromycin 10mg,Drops,40.13,90,MedPlus,True
Pantoprazole 100mg Syrup,Pantoprazole 100mg,Syrup,363.97,114,Guardian Pharmacy,False
Paracetamol 500mg Capsule,Paracetamol 500mg,Capsule,614.94,181,MedPlus,False
Losartan 20mg Tablet,Losartan 20mg,Tablet,383.64,42,Netmeds,True
Metformin 10mg Tablet,Metformin 10mg,Tablet,244.65,243,Apollo Pharmacy,True
Vitamin D3 5mg Injection,Vitamin D3 5mg,Injection,437.5,95,Guardian Pharmacy,False
Diclofenac 5mg Syrup,Diclofenac 5mg,Syrup,563.62,209,MedPlus,True
Diclofenac 650mg Tablet,Diclofenac 650mg,Tablet,481.93,90,Netmeds,True
Atorvastatin 650mg Cream,Atorvastatin 650mg,Cream,514.34,32,Netmeds,True
Ibuprofen 5mg Ointment,Ibuprofen 5mg,Ointment,139.33,240,Netmeds,False
Vitamin D3 5mg Cream,Vitamin D3 5mg,Cream,154.23,173,MedPlus,False
Methylcobalamin 10mg Gel,Methylcobalamin 10mg,Gel,563.46,202,Wellness Forever,False
Vitamin D3 200mg Drops,Vitamin D3 200mg,Drops,223.27,12,Apollo Pharmacy,False
Pantoprazole 10mg Syrup,Pantoprazole 10mg,Syrup,36.41,157,Netmeds,False
Vitamin D3 40mg Gel,Vitamin D3 40mg,Gel,398.76,135,Apollo Pharmacy,False
Methylcobalamin 10mg Injection,Methylcobalamin 10mg,Injection,40.32,116,Apollo Pharmacy,False
Rabeprazole 20mg Injection,Rabeprazole 20mg,Injection,287.17,247,Sharma Medical,False
Levocetirizine 500mg Gel,Levocetirizine 500mg,Gel,471.2,81,Guardian Pharmacy,False
Cetirizine 20mg Drops,Cetirizine 20mg,Drops,268.73,80,Guardian Pharmacy,False
Metformin 40mg Injection,Metformin 40mg,Injection,436.22,102,Sharma Medical,True
Telmisartan 40mg Cream,Telmisartan 40mg,Cream,361.58,5,Wellness Forever,True
Cetirizine 40mg Injection,Cetirizine 40mg,Injection,513.31,160,Sharma Medical,False
Levocetirizine 100mg Ointment,Levocetirizine 100mg,Ointment,294.1,59,Guardian Pharmacy,False
Tramadol 500mg Syrup,Tramadol 500mg,Syrup,193.06,174,Sharma Medical,True
Ofloxacin 500mg Gel,Ofloxacin 500mg,Gel,534.15,197,MedPlus,True
Cetirizine 5mg Injection,Cetirizine 5mg,Injection,106.01,16,MedPlus,False
Tramadol 100mg Capsule,Tramadol 100mg,Capsule,276.41,166,Guardian Pharmacy,True
Amlodipine 100mg Drops,Amlodipine 100mg,Drops,266.98,42,Sharma Medical,True
Paracetamol 40mg Capsule,Paracetamol 40mg,Capsule,151.62,210,Sharma Medical,False
Rabeprazole 250mg Ointment,Rabeprazole 250mg,Ointment,367.62,239,Apollo Pharmacy,False
Aceclofenac 100mg Syrup,Aceclofenac 100mg,Syrup,437.91,148,Guardian Pharmacy,True
Levocetirizine 200mg Ointment,Levocetirizine 200mg,Ointment,284.26,237,Guardian Pharmacy,False
Aceclofenac 100mg Syrup,Aceclofenac 100mg,Syrup,299.14,197,MedPlus,True
Pantoprazole 5mg Ointment,Pantoprazole 5mg,Ointment,187.19,24,Sharma Medical,False
Cetirizine 10mg Injection,Cetirizine 10mg,Injection,226.27,233,Guardian Pharmacy,False
Azithromycin 650mg Syrup,Azithromycin 650mg,Syrup,159.54,182,MedPlus,True
Amlodipine 40mg Capsule,Amlodipine 40mg,Capsule,272.05,143,Netmeds,True
Diclofenac 5mg Tablet,Diclofenac 5mg,Tablet,543.38,104,Guardian Pharmacy,True
Paracetamol 100mg Drops,Paracetamol 100mg,Drops,15.76,95,Wellness Forever,False
Methylcobalamin 200mg Drops,Methylcobalamin 200mg,Drops,488.91,144,Guardian Pharmacy,False
